time,peakdirectionH,cobH,widthH,peakdirectionV,cobV,widthV
-2.219352,17.33698998,21.87086342,24.53496471,-6.90284932,-8.714959989,8.713171514
-2.124607,10.34848674,21.72275492,16.06290797,-10.61303385,-13.78429739,12.46232587
-2.021371,2.437568614,6.640006834,26.56700023,-10.0303893,-14.31678883,13.64069868
-1.911946,-16.86848801,-22.54224694,11.63593262,-7.8324222,-10.42881701,9.632656735
-1.813415,-18.55996165,-19.91360437,9.790412795,-9.56662828,-13.35447806,12.7339598
-1.712055,-20.6974559,-22.22459833,16.58803959,-6.950093057,-10.39362935,10.16267339
-1.639558,-17.83838929,-19.58788057,12.62450564,-6.091659193,-9.002728871,9.649709101
-1.60417,-16.6106282,-18.89447696,12.92545594,-5.059688154,-6.747144028,7.560566485
-1.550607,-10.80169848,-9.175093586,19.8886771,-6.110876422,-7.575939392,8.603024416
-1.523662,-14.33240429,-15.95945445,14.7255901,-5.425048234,-4.595836564,5.467015624
-1.49701,-14.71386649,-18.55972645,9.114801406,-5.059511201,-3.951453706,5.191943585
-1.473811,-15.78408574,-16.25846652,17.42376672,-6.69162351,-8.309711991,9.500480278
-1.451614,-11.20472422,-9.634621992,20.70488692,-7.424560601,-8.063140089,8.984119068
-1.431323,-11.76249546,-10.81599081,18.92653498,-7.904684347,-14.27989282,14.56433064
-1.410783,-9.802589635,-8.954041798,22.15689647,-6.269043107,-6.383962124,7.501043214
-1.391963,-9.011182629,-10.22109803,24.64879349,-7.384324749,-6.827351448,8.102421428
-1.376527,-9.632464675,-7.771779297,22.93931063,-7.619853015,-9.674496641,10.74902002
-1.36071,-12.37296443,-9.548779643,23.73958821,-7.780029421,-7.814145747,9.317829316
-1.345324,-8.316054463,-7.252835986,22.7567989,-6.758157631,-8.65405252,10.16806987
-1.33096,-9.377108815,-7.138459539,21.71028277,-7.148058549,-8.357167305,9.66631352
-1.316676,-5.573531452,-6.471454738,24.03337741,-7.273322761,-8.332317555,9.532452111
