"time","bx","by","bz","mx","my","mz"
-2.32,-1751.082309,-777.773733,597.726548,2621.635478,212.537425,922.8321
-2.312,-1745.242711,-778.439517,600.93292,2671.953228,219.108664,919.902532
-2.304,-1717.420179,-782.010813,603.515126,2671.953228,219.108664,919.902532
-2.296,-1691.152171,-779.832546,606.056631,2689.171727,218.066344,922.043981
-2.288,-1656.110812,-779.713306,608.932728,2705.855605,221.971835,921.77966
-2.28,-1637.84214,-779.337658,617.432233,2739.187462,229.888721,923.544446
-2.272,-1604.010456,-775.282947,623.990924,2756.093828,233.846508,923.281721
-2.264,-1582.132503,-776.472598,632.227497,2773.290305,237.870711,925.770707
-2.256,-1560.035314,-775.54467,636.115679,2790.082904,241.917578,927.823883
-2.248,-1536.782255,-772.147488,646.342386,2772.202181,242.975824,927.945714
-2.24,-1507.883046,-774.186992,652.008424,2789.251157,246.979249,927.691915
-2.232,-1474.7239,-773.008092,660.71542,2806.242671,250.969182,927.438971
-2.224,-1461.333801,-774.262818,667.293739,2804.909568,256.052774,929.625428
-2.216,-1423.351117,-767.855934,669.739158,2822.101182,260.102073,929.374376
-2.208,-1402.434187,-765.322057,672.075388,2804.184218,261.112179,929.491989
-2.2,-1381.089441,-764.942024,680.182023,2804.474821,261.167669,932.256867
-2.192,-1352.188123,-760.640748,685.228414,2804.474821,261.167669,932.256867
-2.184,-1312.29972,-760.903552,694.21742,2803.594007,266.232652,932.124822
-2.176,-1282.962116,-761.328668,699.876994,2820.980542,270.349596,934.652222
-2.168,-1267.576659,-760.18637,706.686578,2802.645429,271.395136,937.072055
-2.16,-1244.101385,-757.009803,720.339623,2838.17943,274.537428,939.514793
-2.152,-1220.569621,-753.830392,733.068243,2838.17943,274.537428,939.514793
-2.144,-1207.841038,-745.824858,742.94702,2856.417096,273.548981,939.418336
-2.136,-1179.23561,-739.432074,751.230321,2873.834278,277.663852,939.188266
-2.128,-1158.69892,-734.829507,756.727232,2873.834278,277.663852,939.188266
-2.12,-1141.975016,-731.047834,762.595318,2891.819838,276.739988,941.43181
-2.112,-1104.828466,-725.12482,771.066453,2928.868305,274.757802,941.247236
-2.104,-1079.810486,-722.006284,775.627698,2910.821666,270.663628,943.822233
-2.096,-1054.333562,-718.742179,782.75188,2893.226097,266.543198,944.042995
-2.088,-1032.718501,-713.870307,787.654713,2911.692675,265.528864,943.957736
-2.08,-997.730806,-708.714967,792.812255,2930.241388,264.510011,943.872099
-2.072,-957.873162,-702.547653,796.604003,2930.947887,259.368324,944.0088
-2.064,-939.565706,-698.367682,803.377263,2950.334687,253.271025,949.234359
-2.056,-898.003714,-689.03216,814.052683,2950.334687,253.271025,949.234359
-2.048,-873.937895,-683.62369,824.16851,2951.00596,248.113098,949.371979
-2.04,-845.727007,-679.993045,830.608058,3026.465014,243.886345,951.916951
-2.032,-816.592474,-673.504892,838.266687,3009.354616,234.615653,952.257366
-2.024,-801.63455,-670.002011,848.385458,3029.037345,228.285854,952.329308
-2.016,-786.547974,-663.925278,852.938635,3010.850111,224.192266,952.534023
-2.008,-761.494951,-655.592794,858.523609,3067.645397,220.89715,957.58587
-2,-736.596769,-650.070989,861.563902,3068.201908,215.65302,957.72624
-1.992,-716.695976,-645.639523,863.612324,3068.818438,210.506636,963.115877
-1.984,-685.555533,-636.000078,867.459685,3088.202494,204.113785,965.624019
-1.976,-669.733173,-632.409773,873.574502,3088.853626,198.842921,965.765563
-1.968,-653.889442,-626.100147,875.617824,3107.928619,197.64771,965.732039
-1.96,-632.51944,-618.469146,880.243297,3088.802788,193.622269,968.316937
-1.952,-605.703488,-609.561064,886.227051,3089.422152,188.348345,968.459292
-1.944,-584.088373,-601.823611,889.673443,3090.936938,177.873481,971.595011
-1.936,-556.884414,-595.73201,892.828168,3091.514475,172.594728,971.737217
-1.928,-534.840467,-587.848406,896.352343,3092.464302,167.375222,974.72992
-1.92,-495.670542,-576.128406,900.680102,3074.616242,158.184965,975.023173
-1.912,-472.557653,-567.787114,911.380126,3075.145454,152.912974,975.164901
-1.904,-443.972724,-561.276741,916.326625,3057.686162,138.436527,975.600613
-1.896,-431.194965,-543.563582,916.435487,3076.567267,131.759004,972.891727
-1.888,-407.324686,-531.917021,927.527897,3114.504766,123.653022,970.150582
-1.88,-389.458609,-524.698417,932.858213,3153.36921,115.527074,970.250683
-1.872,-348.041563,-512.105028,934.485678,3211.473664,100.445601,967.594398
-1.864,-318.011917,-505.111548,938.364135,3211.092071,94.983927,964.860353
-1.856,-299.66763,-497.808212,939.238291,3192.375685,85.75814,965.186607
-1.848,-256.784845,-487.860057,941.294257,3192.813673,80.422309,965.332164
-1.84,-231.609221,-478.824491,945.095166,3193.087144,75.055176,965.479216
-1.832,-200.173393,-471.489797,947.498114,3174.094294,65.874106,965.805294
-1.824,-180.990911,-466.987004,950.18319,3175.357528,55.118983,963.64883
-1.816,-155.096982,-460.831614,955.603461,3136.740336,42.163903,961.311275
-1.808,-135.50966,-456.216319,960.026926,3099.134789,34.711784,961.686171
-1.8,-128.876344,-451.465284,961.507596,3081.408838,25.668257,959.594855
-1.792,-102.540359,-445.287527,964.186449,3101.013801,18.847151,962.528178
-1.784,-49.039811,-432.737563,969.636763,3101.412768,8.244768,962.817274
-1.776,-21.801237,-426.296178,973.865396,3064.271717,-9.606781,963.473176
-1.768,-8.01707,-423.057504,977.123542,3064.24519,-20.181946,963.763429
-1.76,19.79587,-413.257355,979.873931,3082.80019,-27.20641,963.873149
-1.752,33.673808,-406.688409,981.352621,3102.159954,-39.65898,961.69596
-1.744,61.875322,-396.700267,984.153028,3102.096661,-50.261425,961.986307
-1.736,83.143266,-388.339286,985.578548,3083.433261,-59.054016,962.316327
-1.728,118.917857,-369.825457,984.912364,3083.360824,-64.364855,962.461959
-1.72,133.36772,-363.008671,984.660675,3102.276777,-71.446072,965.395136
-1.712,147.941091,-352.792569,982.532382,3083.395001,-80.218878,965.71818
-1.704,177.305968,-342.253275,985.126434,3045.839272,-92.341322,966.215612
-1.696,207.128859,-328.059506,991.273032,3027.627463,-101.080392,964.122083
-1.688,229.641579,-322.574621,992.581155,3045.806691,-108.280035,964.230851
-1.68,252.365693,-310.007466,998.900793,3045.009349,-118.876466,961.717022
-1.672,275.267012,-304.324973,1001.79522,3026.164324,-132.731887,962.191378
-1.664,298.353608,-295.13056,1004.916342,3042.906252,-139.984193,961.922676
-1.656,313.860274,-287.779774,1008.115514,3024.088992,-148.539474,962.254376
-1.648,329.263683,-280.476086,1007.924907,3059.508653,-157.944667,959.52523
-1.64,352.951001,-274.658708,1011.502041,3021.248441,-169.772866,957.270056
-1.632,384.67723,-266.828627,1012.89847,3001.53425,-178.174777,960.029598
-1.624,400.544349,-259.393616,1013.024493,3000.915232,-188.630536,960.323491
-1.616,432.228575,-244.494817,1009.499558,3000.510864,-193.890795,960.471858
-1.608,464.191424,-229.377267,1005.932972,2999.520887,-204.393524,960.769097
-1.6,488.585159,-216.081725,1001.753407,2982.748264,-207.357105,966.490093
-1.592,513.211676,-206.312521,997.943032,2982.303896,-212.604382,966.636802
-1.584,546.857248,-197.914132,995.737331,2963.07591,-226.163099,967.102955
-1.576,555.106927,-192.154157,993.62847,2944.179861,-234.272833,972.571087
-1.568,563.537427,-190.036468,993.55518,2943.850366,-244.644547,975.612924
-1.56,571.863383,-184.205778,993.062424,2943.327434,-249.82336,975.756812
-1.552,614.804141,-173.400567,990.719902,2924.79192,-257.996601,976.051355
-1.544,640.945523,-166.816056,990.48061,2941.049005,-265.373635,978.589558
-1.536,676.170745,-157.915083,994.13436,2957.949916,-272.84415,978.735899
-1.528,685.066653,-155.652226,996.050643,2975.645601,-275.125718,978.736884
-1.52,711.864341,-148.873988,997.836063,2956.656234,-283.145689,984.182175
-1.512,757.134453,-137.469025,997.48892,2936.807095,-291.176837,986.857003
-1.504,775.679015,-136.644435,997.447814,2900.575037,-296.79856,992.222244
-1.496,812.919041,-131.190975,997.265478,2917.963224,-299.116941,992.254005
-1.488,831.377996,-126.606336,995.419267,2917.29528,-304.31416,992.398077
-1.48,859.76808,-123.461275,993.582751,2916.553383,-309.357941,997.667346
-1.472,888.66854,-120.206348,991.382925,2916.810881,-314.464134,1000.542895
-1.464,908.042153,-115.341252,992.946261,2916.111101,-319.617927,1000.684346
-1.456,947.126223,-109.707932,986.814049,2898.062439,-322.438362,1000.776457
-1.448,986.525895,-103.987326,984.80041,2897.342282,-327.619553,1000.918673
-1.44,1036.448824,-95.74684,980.890217,2897.342282,-327.619553,1000.918673
-1.432,1057.024648,-94.732188,980.78786,2896.608776,-332.799677,1001.06087
-1.424,1077.790317,-93.714577,978.549908,2878.643272,-335.583079,1001.1519
-1.416,1130.491196,-88.889842,981.459305,2877.763045,-340.731528,1001.293354
-1.408,1151.656451,-87.817331,981.358637,2859.120783,-348.644032,1001.52514
-1.4,1173.058146,-86.747466,981.257234,2841.321605,-351.37796,1001.614679
-1.392,1183.981814,-88.241302,981.259937,2822.830721,-359.228355,1001.84464
-1.384,1205.137176,-83.065279,980.695211,2805.195312,-361.925345,1001.933033
-1.376,1226.771891,-82.046312,978.762352,2786.861151,-369.67463,1002.160101
-1.368,1259.845735,-82.541799,974.611553,2786.861151,-369.67463,1002.160101
-1.36,1259.757028,-82.575326,972.41465,2768.723717,-377.406218,1002.386521
-1.352,1259.757028,-82.575326,972.41465,2768.723717,-377.406218,1002.386521
-1.344,1292.943929,-78.831259,972.155958,2752.047187,-379.983694,1005.142572
-1.336,1349.606145,-82.255899,969.749918,2734.728856,-382.608919,1005.222512
-1.328,1349.736763,-82.218726,971.977377,2734.728856,-382.608919,1005.222512
-1.32,1372.738598,-85.186207,973.827126,2684.043351,-385.378794,1005.322746
-1.312,1396.116492,-88.147987,977.93416,2684.677267,-385.32178,1007.968895
-1.304,1407.716188,-89.622075,979.820659,2667.668666,-387.911219,1008.041593
-1.296,1430.338536,-84.140148,983.388698,2666.872527,-392.934363,1008.177846
-1.288,1453.69123,-82.976833,983.291539,2666.872527,-392.934363,1008.177846
-1.28,1488.788216,-79.038286,985.001494,2649.940821,-395.500793,1008.249908
-1.272,1525.002201,-79.450245,982.995554,2633.881466,-393.055079,1008.186004
-1.264,1549.167572,-78.258174,982.895334,2617.669816,-395.707614,1005.95798
-1.256,1561.68274,-79.877564,980.965243,2618.154073,-395.654201,1008.580674
-1.248,1586.121416,-78.753908,978.911476,2601.444265,-398.197583,1008.651236
-1.24,1623.589823,-83.350694,983.187711,2585.712191,-395.779461,1008.588176
-1.232,1648.219559,-82.102726,985.052251,2586.466895,-395.828389,1008.911291
-1.224,1673.519331,-85.149123,989.385644,2570.666892,-393.40063,1008.848121
-1.216,1673.817325,-84.991829,996.03092,2570.666892,-393.40063,1008.848121
-1.208,1699.167441,-83.670695,1000.303721,2554.928744,-390.982384,1008.785199
-1.2,1711.741201,-85.071606,1006.66197,2556.186306,-381.147963,1005.917233
-1.192,1737.818199,-88.235961,1009.127545,2524.971868,-376.396906,1005.803777
-1.184,1750.840756,-89.734488,1013.543954,2541.315756,-373.833322,1005.727671
-1.176,1763.865164,-91.352738,1013.611568,2574.222482,-368.671812,1005.574439
-1.168,1776.835217,-92.964241,1013.6789,2590.786299,-366.073732,1005.497309
-1.16,1776.604677,-92.893331,1015.683514,2574.521716,-363.757228,1002.828983
