"time","peakdirectionH","cobH","widthH","peakdirectionV","cobV","widthV"
-2.30827,0.672631483,0.004200805,17.6115648,2.637066612,2.252196672,8.361138663
-2.24446,-1.662459872,-2.491197326,16.81024498,-0.030492928,-3.424063993,13.72672859
-2.225953,5.079210814,5.544518625,8.642041537,-1.338075517,-5.6995885,14.40183511
-2.059015,-10.43508416,-12.83394009,12.79014328,1.777519248,3.624934509,10.13148457
-2.044298,-1.030301843,-2.980666166,12.93027031,1.816136784,0.506339302,9.756669394
-2.027831,-7.646229435,-7.542568459,22.14584551,3.379838504,2.380452586,14.61954741
-2.010345,-8.860278995,-11.02039219,21.0835423,3.055996911,-6.62304912,16.62304912
-1.992422,-7.394084501,-8.927139541,17.15636766,-0.506786932,-0.936705442,10.09587792
-1.972846,-7.328688188,-7.914526335,19.40132203,1.542453687,1.235953365,12.24211139
-1.919969,-4.352235493,-6.821245926,19.42919228,2.146609977,1.023560692,12.81292471
-1.886891,-3.542832032,-5.23296871,19.20072593,6.602323423,9.160819858,6.112989784
-1.798363,-11.87825105,-14.00560745,23.24794765,6.767961992,9.753695102,13.98836988
-1.699167,-10.32609258,-13.53844774,24.91671419,6.978911299,8.927557467,8.922870033
-1.582673,-9.437493268,-10.85756511,26.20056475,5.550160307,5.319160221,13.91644859
-1.464023,-10.26194355,-11.22208962,25.21267868,5.883342658,6.20985082,15.46363962
-1.337503,-8.969570554,-10.18649892,27.62105208,4.899619004,4.672410908,18.20338105
-1.260301,-7.480681643,-7.123565997,25.6773827,-0.175165078,-2.12090438,17.05729036
-1.186791,2.252873169,4.256549948,26.36708958,3.611713552,3.593740798,17.2780062
-1.112411,4.941897214,9.344063992,24.14899781,1.460077523,0.756119569,15.57350912
-1.058804,13.89688588,15.97564994,23.41217513,0.35043101,4.537526804,14.94111194
-1.00791,20.67587758,24.21980586,24.10417878,3.118570764,-1.910754177,24.98334994
-0.981243,24.24104806,30.75947448,21.76594038,9.905672935,8.375912563,18.3961835
-0.951954,26.08415465,30.9471552,26.38619295,11.4801953,7.450936028,16.07362553
-0.92816,26.787903,33.80192892,35.58809801,2.788346412,-2.255591422,26.13316327
-0.905574,25.86615471,30.14862655,23.32905871,10.37113454,9.42159944,25.65280311
-0.883376,24.13979838,30.44103677,24.64875792,10.07677691,7.457303875,16.60705991
-0.862247,23.47387005,29.27377913,25.79528545,10.52410398,8.641737603,15.87626442
-0.845052,19.10956657,27.46163666,26.32858496,5.323207484,3.852588275,20.06103661
-0.825963,22.96619092,29.39170355,26.63818242,10.97442803,14.06319612,21.59595982
-0.806874,16.41734283,24.66087847,30.77303104,7.99884235,6.559027353,17.90016678
-0.787669,19.09257463,24.29750689,31.31976165,9.878085454,9.024440388,16.99559208
-0.771494,15.39609991,19.11862941,26.72228488,8.140703351,6.624342441,19.47689306
-0.757068,20.5151518,27.1721246,31.10090313,11.89472788,9.955373107,15.63070695
-0.740893,18.09095337,26.66667812,32.26219116,7.996794006,5.379827859,20.38236905
-0.726176,20.4637992,30.20718982,32.15216479,12.86226797,11.42370936,16.83262206
-0.712624,18.99580743,28.37557519,34.0481676,12.40403724,11.24520444,16.83296158
-0.699218,18.42226757,29.09037721,37.89767118,6.269510841,1.779387356,12.90540248
-0.686612,23.30761413,31.9329498,31.06474649,13.2939322,14.36060454,12.05476511
-0.674955,20.4776277,34.16735342,45.25354976,13.08939235,14.67534589,10.26661348
-0.663588,15.36366945,28.28911059,30.81816956,12.46841545,12.69960345,24.9932983
-0.652951,21.09704031,33.83994159,31.39454658,10.35003826,1.219627094,14.32479729
-0.642751,15.52255955,30.39508826,30.56157469,1.483537318,2.39265055,23.83401126
